Crop;Reception Date;Mês Plantio;Ano;Field;Região;Sieve;Embryoless %;Precipitação (mm);Média Temp. (°C);Umidade (%)
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R1;1,2;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;C1;7,1;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R4;8,7;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R3;14,9;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R1;0,7;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;C2;18,4;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R2;2,2;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R3;3,9;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R4;7;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;C1;1,5;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;C2;7,2;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R1;1,8;0;20,00672043;61,88709677
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R2;7,3;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;C1;1,3;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R1;0,3;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R2;3,5;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R3;13,7;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R4;9;0;20,00672043;61,88709677
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;C2;9,1;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;C2;9,1;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R4;8,4;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R2;1,8;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;C1;1,4;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R3;7,3;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R1;0,4;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;C2;24,3;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R3;21,2;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;C1;6,2;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R1;0,6;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R4;32,4;0;20,00672043;61,88709677
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R2;5,8;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R3;6,5;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C1;1,2;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R1;0,4;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C3;12,5;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R4;6,6;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R2;3,3;0;20,00672043;61,88709677
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C2;7,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;C2;11,8;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R3;9,4;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;C1;3,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R2;4,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R1;0,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;C1;0,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;C2;8,2;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R2;0,7;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R4;7,4;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R1;0;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R3;6,5;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R2;5;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R1;1,5;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R3;8,6;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;C1;3,1;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;C2;17,8;0;20,00672043;61,88709677
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R4;17,5;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R2;1,8;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R3;9,4;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R4;7,7;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;C1;1,9;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R1;1,2;0;20,00672043;61,88709677
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;C2;12,5;0;20,00672043;61,88709677
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R2;5,5;0;20,00672043;61,88709677
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R3;21,9;0;20,00672043;61,88709677
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R1;0,6;0;20,00672043;61,88709677
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R4;17,1;0;20,00672043;61,88709677
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R1;0,1;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R2;0,2;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R3;3,7;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R4;7,6;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R3;11,7;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R1;1;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R2;5,3;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;C2;21,1;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;C1;6,9;0;21,28375;57,22083333
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R4;26,1;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R4;8,1;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;C1;12,7;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R1;2,6;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R3;33,9;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R2;0;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R1;0,2;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R4;2,6;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R3;5,3;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R2;1,4;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;C2;4,4;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;C1;1,3;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R1;0;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R3;5,4;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R2;0,6;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;C2;7,8;0;21,28375;57,22083333
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;C1;1,8;0;21,28375;57,22083333
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;C2;5,6;0;20,855;65,11388889
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R3;14,6;0;20,855;65,11388889
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R2;1,2;0;20,855;65,11388889
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;C1;2,4;0;20,855;65,11388889
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R1;0,2;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;C2;12,5;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;C1;1,4;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R3;12,3;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R2;2,7;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R4;19,3;0;20,855;65,11388889
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R1;1,9;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R5;13,9;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R4;22;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R3;17,6;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R2;5,2;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R1;0,6;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R4;6,2;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;C2;5;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R2;0,7;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;C1;0;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R1;0;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R3;3,9;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;C2;11,2;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;C1;2,9;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R1;0,3;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R4;25,1;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R3;10,6;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R2;2,4;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R4;10,1;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;C1;0,5;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R1;0,1;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R2;0,1;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;C2;3,3;0;20,855;65,11388889
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R3;3,8;0;20,855;65,11388889
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;C2;31,6;0;20,855;65,11388889
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;C1;4;0;20,855;65,11388889
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R4;27,5;0;20,855;65,11388889
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R3;14,7;0;20,855;65,11388889
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R1;0,6;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R4;8,8;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R2;1,8;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;C2;3,7;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;C1;2,3;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R1;0,3;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R3;6,5;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;C1;3,4;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;C2;7,1;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R1;0,4;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R4;21,5;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R3;15,9;0;20,855;65,11388889
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R2;7,3;0;20,855;65,11388889
